description,year
"He also said that NDFB-S president, B Saoraigwra, has not been camping in the base camp areas since September 2018. He also said that after the Myanmar Armys attacks on the Indian Insurgent Groups camps all members fled to safer areas. The camps targeted include NDFB-S, National Socialist Council of Nagaland-Khaplang (NSCN-K), Kamtapur Liberation Organisation (KLO) and Peoples Democratic Council of Karbi Longri (PDCK).",
"Esara further told intelligence officers that in insurgent groups in Myanmar are struggling with an acute food crisis. Sharing the revelation of the surrendered insurgent leader, the top intelligence officer said, ""About 35 to 40 North East-based insurgents have been detained by Tatmadaw during the operations in Ta Ga area of Sagaing region, Myanmar. Now all these banned groups are trying to save their comrades. The leadership of these groups has fled to other countries but the cadres are suffering.",2019
"Northeast Now on March 29 reports that United Liberation Front of Asom-Independent (ULFA-I) chief Paresh Baruah is undergoing treatment in a Chinese hospital. Baruah who reportedly sustained injuries in a motor cycle accident in Ruili in China in 2018 is suffering from accident complications related to the injury he sustained. He has been receiving treatment at the First Peoples Hospital in Jiegao, 6 kms south-west of Ruili in Yunnan province. Baruah was taken to Southern Medical University Hospital in Guanzhou for treatment of his fractures in ribs, legs and hands.",2019
"On March 29, a Zeliangrong United Front (ZUF) militant identified as sergeant major Gaikhanglung Kamei alias Khangkhang was arrested from Porompat in Imphal East District, reports Imphal Free Press. The militant had joined ZUF in 2011 and was involved extortion for the group.",2019
"Pakistan army violated ceasefire and shelled forward posts of troops and civilian population along the Line of Control (LoC) in Mankote and Krishna Ghati sectors of Poonch District on March 29, reports Daily Excelsior. Pakistan initiated unprovoked ceasefire violation by using mortars and firing small arms along the LoC in Mankote and Krishna Ghati sectors from 7.50 am, sources said. They said the Army retaliated befittingly to silence the Pakistan guns but there was no report of any casualty on the Indian side in the cross-border firing.",2019
"Pakistani wives of former Kashmiri militants protested in Srinagar in Srinagar District on March 29 demanding citizenship rights and travel documents from Jammu and Kashmir Government, reports Daily Excelsior. Scores of women assembled at the Press Enclave and demanded permission from the Government to return to their native country. They raised slogans in favor of their demands and appealed the Government to solve their issues on the humanitarian ground. The women had married to the Kashmiri men who had gone across the Line of Control (LoC) for arms training. However, they surrendered and returned to the valley along with their families under the Governments rehabilitation policy.",
"The protesting women alleged that they were not given the promised rights and were denied the permission to meet their families. We are unable to meet our parents, siblings, and relatives due to lack of travel documents. We havent seen them for past ten-fifteen years, a protesting woman said, adding that she doesnt have an Indian passport to travel to Pakistan. The women appealed the Prime Minister of Pakistan, Imran Khan, to take up their cases with his Indian counterpart. We request the leadership of both the countries to deal with our cases on humanitarian cases, a woman said, adding that they have been denied the right to visit their country.",2019
"The Union Ministry of Home Affairs (UMHA) said on March 29 that it is keeping a close watch on illegal flow of funds to fuel militancy in Jammu and Kashmir, and announced the setting up of a Terror Monitoring Group (TMG) aimed at taking coordinated action against terror funding, reports The Indian Express. According to the order issued by UMHA, the terms of reference of the TMG include, taking action against hardcore sympathisers among government employees including teachers etc providing overt or covert support to such activities. It charges the TMG with action against all registered cases related to terror, terror financing and terror-related activities and bring them to a logical conclusion.",
"The seven-member TMG shall be headed by the Jammu and Kashmir Additional Director General of Police (ADGP). It shall also have representatives from the Intelligence Bureau (IB), Central Bureau of Investigation (CBI), National Investigation Agency (NIA), Central Board of Direct Taxes (CBDT), and Central Board of Indirect Taxes and Customs (CBIC). The Jammu and Kashmir Police Inspector-General (IG) shall be the seventh member of the TMG. However, the Enforcement Directorate (ED), which has attached several properties in terror funding cases, did not find mention in the order. The order further states that the TMG shall identify all key persons including leaders of the organisations who are involved in supporting terrorism in any form and take concerted action against them. Investigate the networks of various channels being used to fund terror and terror-related activities and take action to stop flow of such funds.",2019
"Two Jaish-e-Mohammed (JeM) militants, identified as Ali Bhai and Idrees Bhai, both Pakistani nationals, were killed and five soldiers injured in an encounter at Chittergam in Nowgam in Budgam District on March 29, reports Daily Excelsior. As the Security Forces (SFs) intensified the searches, militants opened fire, triggering a gunfight in which two militants were killed and five Army personnel injured. Arms and ammunition including one AK-47 rifle and M4 carbine sniper rifle were also recovered from the encounter site.",2019
"A car hit a bus carrying Central Reserve Police Force (CRPF) personnel, and exploded at Banihal near the Jawahar Tunnel on the Jammu-Srinagar National Highway in Ramban District on March 30, reports Indian Express. The car was destroyed, but no one on the bus or the road was injured. The rear of the bus, where the car hit it around 10.30 am, was slightly damaged, Police said. The whereabouts of the driver of the car is not known. Inspector General of Police (IGP- Jammu Zone) M K Sinha on March 31 said that an Improvised Explosive Device (IED) and some detonators were found inside the wrecked car. The officer also said that a note in English, written on plain paper apparently by the driver of the Santro, had been found at the site, which raised questions about the incident. The writer of the note claimed that he was a member of the Hizb-ul-Mujahideen, and that he was taking the extreme step in view of continued atrocities on Kashmiris since 1947, Sinha said. We are verifying the authenticity of the letter, he added.",2019
"A Central Reserve Police Force (CRPF) trooper was injured after militants hurled a grenade on CRPF bunker near SBI Branch in Pulwama town in Pulwama District on March 30, reports Daily Excelsior. Militants attacked a bunker of paramilitary CRPF 182 Battalion guarding the SBI branch Pulwama. In the blast, one CRPF man suffered injuries. The injured have been evacuated to hospital for treatment where his condition is said to be stable, Police said.",2019
"A factional clash between National Socialist Council of Nagapand-Isak-Muivah (NSCN-IM) and Zeliangrong United Front (ZUF) was reported on March 30 from Toudaijang village in Noney District, reports Imphal Free Press. The shootout occurred after NSCN-IM militants allegedly escorting supporters of a hill based political party entered ZUF strong hold of Toudaijang.",2019
"As many as 90 companies of the Central Armed Police Forces (CAPFs) including 15 companies of the Indian Reserve Battalion (IRB) will be deployed in the first phase of election to the Outer Manipur Lok Sabha (lower house of Indian Parliament) constituency, reports Northeast Now on March 31.",2019
"Communist Party of India-Maoist (CPI-Maoist) has given a call for Magadh Bandh (general shutdown in Magadh) on April 2 when Prime Minister (PM) Narendra Modi will address a rally at Gandhi Maidan in Gaya District of Bihar, reports Business Standard on March 30. The bandh call has been given to unitedly oppose the Operation Green Hunt and Mission SAMADHAN, CPI-Maoist spokesman Manas said in a leaflet. The CPI-Maoist spokesman also claimed responsibility for blowing up Bharatiya Janata Party (BJP) leader and ex-Member of Legislative Council (MLC), Anuj Kumar Singhs house at Bodhibigaha under Dumaria Police Station limits in Gaya District on March 27. The Maoists had called for the boycott of Lok Sabha (Lower House of the Indian Parliament) election and threatened the villagers (of Bodhibigaha) with dire consequences if they failed to ensure a complete boycott of the General Election in the Magadh region.",2019
"Jammu and Kashmir Governor Satya Pal Malik on March 30 said that till sympathizers of terrorists and their organizations are not tackled, terrorism cant be contained in Kashmir and observed the newly constituted Multi-Disciplinary Terror Monitoring Group by the Union Ministry of Home Affairs will take action against all those linked to terror, reports Daily Excelsior. The Governor welcomed and described as very significant the decision of the Central Government to set up the Terror Monitoring Group for taking decisive action against those involved in terror financing and related activities. The Terror Monitoring Group will curb activities of terrorists and their sympathizers. There is a need to tackle activities of the terrorist supporters. Till activities of these persons are checked, terrorism cant be contained, Malik said. He added that the newly set up Terror Monitoring Group would help put an end to the terror menace in the State.",2019
"Joint statement, issued after talks between President Ram Nath Kovind and his Bolivian counterpart Evo Morales Ayma, on March 30 said that the two leaders discussed multilateral issues of mutual interest, in particular reforms of the United Nations Security Council (UNSC), fight against terrorism and climate change. The two sides stressed that terrorism in all its forms and manifestations constitutes one of the most serious threats to international peace and security.""They reaffirmed that all acts of terrorism are crimes against humanity, regardless of their motivation, wherever, whenever and by whomsoever committed. They underlined the need for all States to resolutely fight terrorism,"" the statement said.""The two leaders affirmed the need to hold perpetrators, organisers, financiers and sponsors of these reprehensible acts of terrorism accountable and bring them to justice. (They) Denounced cross border terrorism in forceful terms,"" it added.",2019
"Meanwhile, a Policeman, identified as HC Ghulam Mohammad was injured after local residents of Hakbara area of Hajin in Bandipora District attacked a Police search team on March 30 afternoon, reports Daily Excelsior. Soon after a Police party reached the village and asked the inmates of the house of Abdul Majeed Dar son of Ghulam Ahmad Dar of YarbalporaHakbara that they were going to conduct the searches, some members of house and neighbours assaulted the Police party. Police fired around 10 to 12 rounds in air to disperse the villagers.",2019
"On March 30, a former District Council member, identified as SeliamWangsa who was campaigning for a Bharatiya Janata Party (BJP) candidate HonchunNgandam was killed by suspected militants in Nginu village in Longding District, reports Northeast Today. Seliam was previously a member of National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM). Earlier on March 29 a National Peoples Party (NPP) member was killed by NSCN-IM militants in Tirap District.",
"News 18 further adds that according to an intelligence official, This is not the first time Wangsa was targeted. Last year, he was brutally attacked by the NSCN and sustained severe bullet injuries. He was hospitalised for nearly three months. Arunachal Times further adds that he had surrendered in 2014.",2019
"On March 30, Arakan Army (AA) abducted 13 workers near Kat Ku Wa village in Paletwa in Chin state of Myanmar, reports Myanmar Times. Five workers managed to escape from the militants. The workers are involved in the Paletwa-Mizoram road project linking Myanmar and India. On April 2, Myanmar Army had issued a statement Tuesday that announced the cancellation of the Paletwa Bridge project, which is on the Paletwa-Mizoram road, after AA fighters ignited a ship carrying materials for the project on March 16. Paletwa-Mizoram road is a part of the US$500 million Kaladan Project, which aims to connect Myanmar and India via sea and land routes, and is expected to be completed in 2020. Northeast Now adds that the attacks could also be a subtle signal to India to stay away from attacking the Arakan Army.",2019
"On March 30, arms and ammunition including a rifle and two magazines were recovered from Lower Sinjol Village in Peren District, tweets Eastern Army Command.",2019
"Pakistan Army violated ceasefire and pounded civilian areas with long range mortar shells and artillery fire in several sectors along the Line of Control (LoC) in Poonch District on March 30 night, reports Daily Excelsior. According to report, Pakistan started shelling and firing at about 8pm targeting Mendhar, Balakote, Mankote, Balnoi and Krishna Ghati sectors in Poonch District. Two houses were damaged at Mankote in which a civilian, identified as Mohammad Mushtaq a resident of Mankote was seriously injured. The Indian side retaliated very effectively and strongly, leading to heavy exchanges, which continued till late night when the reports last came in.",2019
"Police on March 31 arrested a Hizb-ul-Mujahideen (HM) militant, who had attempt to repeat Pulwama like fidayeen attack on CRPF convoy near Banihal on March 30 when he was trying to escape towards Kashmir in a tipper, reports Daily Excelsior. He has confessed that he had been tasked to trigger the blast by ramming car into the convoy of Security Forces (SFs). Director General of Police (DGP) Dilbag Singh said that SFs and Police were maintaining high alert all along the National Highway (NH) after the failed attempt of the militants to repeat Pulwama like attack. He said that the militant appeared on the NH near Banihal late last evening (March 31) and took lift in a tipper on way to Kashmir. However, alert naka parties apprehended him after spotting burn marks over his body as there had been reports that the militant had sustained minor burn injuries in the blast before fleeing from the spot.",2019
"Separately, a group of militants fled from the security cordon after a brief exchange of fire in Tangpawa village of Kokernag area in Anantnag District on March 30, reports Daily Excelsior. As the joint team of Security Forces (SFs) approached the suspected spot the hiding militants fired upon SFs triggering a brief exchange of firing. The cordon was later tightened around the village and massive searches were launched against the militants.",2019
"Separately, a Peoples Revolutionary Party of Kangleipak-progressive (PREPAK-pro) militant identified as MeisanamSuranjoy Singh alias Luchingba was arrested on March 30 from Kakching Lamkhai in Kakching District, reports Imphal Free Press.",2019
"The Enforcement Directorate (ED) has filed a charge sheet against a jailed operative of the Lashkar-e-Taiba (LeT), a Pakistan-based proscribed terror group, on charges of money laundering and acting as a terror financing conduit, reports Business Standard on April 1.In a statement, the agency said a prosecution complaint (charge sheet) was filed against Mohammed Umer Madani, aged about 60 years, under the Prevention of Money Laundering Act (PMLA) before a special court here on March 30.The ED took up the case on the basis of an FIR and charge sheet filed against Madani by the Special Cell of the Delhi Police that had arrested them in 2009 with Fake Indian Currency Notes (FICN) with a face value of Rs 50,000, USD 8,000, Nepalese rupee 4,067 and some documents.",2019
"The Hizb-ul-Mujahideen (HM) claimed responsibility for the blast that took place at Banihal near the Jawahar Tunnel on the Jammu-Srinagar National Highway (NH) in Ramban District on March 30, reports Daily Excelsior on March 31. SATP had earlier reported that a car hit a bus carrying Central Reserve Police Force (CRPF) personnel, and exploded at Banihal near the Jawahar Tunnel on the Jammu-Srinagar NH in Ramban District on March 30. According to the reports, militants attempted to repeat February 14-like Pulwama terror attack in Banihal, but failed as LPG cylinder Improvised Explosive Device (IED) along with explosive material, inside a Hyundai Santro car was blasted off by a militant, who was driving the car, few yards short of CRPF convoy and the troops had narrow escape as the car caught fire and was gutted. Militant, who was driving the car, fled away from the spot. Later, HM named militant, who was driving the car, as Owais Amin. The National Investigating Agency (NIA), which was probing Pulwama terror attack, has reached the spot for investigations along with Police, Forensic experts and Dog squads for probe and find out how the car could manage to reach right up to the convoy of 33 CRPF vehicles, which was on way from Srinagar to Jammu despite categorical directions of avoiding civilian vehicles or keeping vigil on them during movement of the convoy of security forces post-Pulwama terror attack in which 40 CRPF personnel were killed.",2019
"The Uttar Pradesh (UP) Police's Special Task Force (STF) on March 30 said it has arrested the kingpin of a gang in Noida in UP that procured data of 14 lakh customers illegally and allegedly duped people to the tune of Rs 200 crore through online fraud over a period of time, reports The New Indian Express. Identified as Nandan Rao Patel, he used to procure the data of clients of major online shopping companies and sell them to fake call centres, police officials said. The first related case was registered in Varanasi in 2008. A new case has been lodged against him at the Cyber Crime Police Station in Noida's sector 36 and the probe is underway.",2019
"Three Communist Party of India-Maoist (CPI-Maoist) cadres including a woman were arrested in Dantewada District of Chhattisgarh on March 30, while they were allegedly planning to plant bombs to target security personnel during the Lok Sabha (Lower House of the Indian Parliament) polls, reports Business Standard. Explosives, including a 'tiffin bomb' and three grenade-headed arrows were recovered from their possession, Dantewada Superintendent of Police (SP), Abhishek Pallava said. Acting on specific information, a joint team of District Reserve Guard (DRG) and District Force of the Police arrested BhimaPotam (23), AaytuAtra (25) and LachhiAtra (33), a woman, from Raja Bangla area on March 30, SP, Pallava said. All three were members of the 'jan militia' of the Maoists in Bhairamgarh area of neighbouring Bijapur District for the past several years, he added. Two bags containing a tiffin bomb (explosives packed in a tiffin box), a locally-made hand grenade, three 'arrow bombs' (arrows with grenades attached to the tip), three gelatin rods and an electronic detonator were recovered from them, he said. The trio revealed that their job was to keep a watch on the movement of Security Forces and plant explosives to target them during the coming Lok Sabha elections, Pallava added.",2019
"Two cadres of the Jharkhand Jan Mukti Parishad (JJMP), a splinter group of the Communist Party of India-Maoist (CPI-Maoist), were arrested in Garhwa and Palamu Districts on March 30, reports Devdiscourse. Garwah, Superintendent of Police (SP), Shivani Tiwari said raids were conducted following a tip-off that JJMP cadres were seen in the District. The outfits 'area commander' Ram Sundar Singh was arrested from Kurum village in Garhwa District. After interrogation of Singh, his associate Santosh Yadav was arrested from Satbarwa in neighbouringPalamu District, the SP said. A country-made pistol, four bullets and Naxal [Left Wing Extremism, LWE] literature were seized from their possession, the SP added.",2019
"Unidentified militants killed a civilian, Arjumand Majid Bhat, inside his chemist shop in main town area of Baramulla town of Baramulla District on March 30, reports Indian Express.",2019
"A woman Communist Party of India-Maoist (CPI-Maoist) cadre, identified as Siju Kanhar alias Pinky, has surrendered to the District Police in Kandhamal District of Odisha on March 31, reports The Pioneer. Siju, a resident of Jargisaru village under Sumalbandha Gram Panchayat (village level local self-Government institution) in Phiringia block, she had joined the Kalahandi-Kandhamal-Boudh-Nayagarh (KKBN) Division of the CPI-Maoist on November 16, 2016, and was involved in the case of setting ablaze Sudrukumpa contractor camp under Khajuripada Police Station two months back. Siju was carrying a cash award of INR 100,000 on her head.",2019
"Communist Party of India-Maoist (CPI-Maoist) posters appeared in many places in Thrissur city of Thrissur District of Kerala on March 31, reports The Hindu. The posters, which were found demand the arrest of killers of C.P. Jaleel, who was killed in an alleged encounter with the Police in Wayanad District on March 6. The posters also demand that the Thunderbolt, the Commando Force created to counter possible terror strikes, be disbanded. The posters were found near the Kerala SahityaAkademi, Town Hall, and Swaraj Round. Two mobile phone numbers have also been given on the posters, appeared in the name of PurogamanaPrasthanam. The posters carry photographs of Jaleel and call him a martyr.",2019
"Meanwhile, another two CPI-Maoist cadres, carrying a reward of INR 500,000 and INR 100,000 respectively on their heads, were arrested in Dhamtari District of Chhattisgarh on March 31, reports Business Standard. The two cadres were identified as AjitModiyam (24) and RamsuKunjam (22). They were arrested by a team of DRG from a forest area under Khallari Police Station limits in the District, Police said. Three tiffin bombs, one muzzle loading gun, Maoist banners and posters in which they had urged people to boycott Lok Sabha polls were recovered from them, Police said. As many as 17 cases of Maoist-related incidents, including attacks on Police teams and murder, were registered against Modiyam who was active as Sitanadi area commander of Maoists, carried a reward of INR 500,000 on his head, the official said. Five Maoist-related cases were registered against Kunjam who was a member of Sitanadi area committee and was carrying a reward of INR 100,000 on his head, the Police said.",2019
"Meanwhile, the Union Ministry of Home Affairs (UMHA) decided to handover the case of unsuccessful attack on CRPF convoy at Banihal on the morning of March 31, to the National Investigating Agency (NIA), reports Daily Excelsior. All formalities in this regard were being completed and order to this regard was expected to be issued soon.",2019
"On March 31, an unidentified United Liberation Front (UNLF) militant was arrested from Sagolmang area Imphal East District, reports Imphal Free Press.",2019
"On March 31, Punjab Police stated that a militant cell was busted in an unspecified location in the state, reports Times of India. One .32 bore pistol along with a magazine and four live rounds and 15 letter pads of Babbar Khalsa International (BKI) were recovered from the arrestees. The arrestees were identified as Harvinder Singh from Panchkula, Sultan Singh from Kurukshetra, Karamjeet Singh from Moga, Lovepreet Singh from Sangrur, and Gurpreet Singh resident of Chandigarh.",
"The accused were planning to kill Hindu leaders and members of Dera Sacha Sauda. According to Assistant Inspector General Varinderpaul Singh, the arrestees were radicalised over social media by suspected persons based in Europe. He also added that the militants were mobilising funds and had already procured weapons. They were planning to arrange weapons training in Jammu and Kashmir and were in touch with Khalistani militants including Jagtar Singh Hawara of Babbar Khalsa who is in jail, Ranjit Singh Pakhoke, active member of Khalistan Tiger Force (KTF), residing in Germany.",2019
"Separately, Pakistan Army targeted forward posts and villages along the LoC in Rajouri District with mortars and small arms firing on March 31, reports Daily Excelsior. At about 0900 hours, Pakistan initiated unprovoked ceasefire violation by shelling with mortars and firing of small arms along the LoC in Nowshera sector of Rajouri. The Indian Army is retaliating befittingly, the spokesman said. He said there was no report of any casualty in the cross-border shelling which was still continuing when last reports came in.",2019
"The Border Security Force (BSF) has been alerted after reports that a large number of Rohingya refugees have assembled the border along Sabroom in South Tripura District to cross in to India, reports The Sentinel. According to reports, over 600 Rohingya refugees have assembled in different parts of Ramgarh town in Chittagong Hill Tract. They have come from various refugee camps in the hilly hamlets near Cox Bazar in Bangladesh.",2019
"The Communist Party of India-Maoist (CPI-Maoist) has called for a bandh (general shutdown) on April 5 in the Visakha Agency in Visakhapatnam District of Andhra Pradesh in protest against the alleged killing of two tribal farmers by the anti-Naxal Force, the Greyhounds, reports The Hindu on April 1. According to the Maoists, the two villagers were innocent farmers and not its members as claimed by the security forces. Batti Bhushanam (52) and SidaariJamadhar (30) were reportedly killed on March 15 near Buradamamidi village in the PedakodapalliPanchayat (village level local self-Government institution) of the Pedabayalu Mandal (administrative sub-division) in the District. In a letter released on March 30, the Maoists also claimed that the Telugu Desam Party (TDP) government was using repressive tactics through the Security Forces (SFs) to exploit the natural resources in the tribal areas. The letter, addressed by MKVB (Malkangiri-Koraput-Visakhapatnam Border) Division secretary Kailasam, said the SFs were arresting and torturing innocent tribals and destroying their crops and livestock. Kailasam also said the Opposition parties were not condemning the repressive tactics and this indicated that they were hand in glove with the State Government.",
"It is to be noted that earlier, South Asia Terrorism Portal (SATP) had reported, two suspected CPI-Maoist cadres were killed in an alleged encounter near Pedakodapalli village in Pedabayalu Mandal in the Andhra Odisha Border (AOB) region of Visakha Agency in Visakhapatnam District of Andhra Pradesh on March 16.",2019
"The Sentinel reports that Union Minister Kiren Rijiju on March 31 stated that action will be taken against those involved in the killings. He also added that operations against underground elements have been intensified in Tirap, Changlang and Longding Districts while Central Armed Police Forces (CAPFs) have set up check points to prevent such incidents. The Minister also claimed that violence in the Northeast have been significantly reduced by 79 per cent in the past five years, reports The Sentinel. He added, The Armed Forces Special Powers Act (AFSPA) which was in effect since 1990 in half of the North-eastern States and in the entire 20 kilometres areas along the Assam-Arunachal border and the three districts of Tirap, Changlang and Longding, has been withdrawn from many States. In the last five years, insurgency and antisocial activities in the entire western part of the State has been wiped out and now AFSPA is limited to the three eastern Districts of Tirap, Changlang and Longding Districts and four Police Stations of adjoining Districts with Assam.",2019
"Two United Liberation Front of Asom-Independent (ULFA-I) surrendered on March 31 at Pengeri in Tinsukia District, reports Northeast Now. The militants were identified as PunakonChetia alias RojoniAsom, and Jintu Sonowal alias TutulAsom. Chetia had joined ULFA-I in 2015 and Sonowal in 2016. Twenty-eight live rounds of AK-47, 90 rounds of M-16, a 9 mm pistol, 11 rounds of 9 mm ammunition and a single hand grenade were recovered from the militants.",2019
"A Border Security Force (BSF) Inspector and two civilians including an infant and a woman were killed while 24 others, five of them Security Force (SF) personnel were injured, as Pakistan army pounded civilian locations and forward posts with long range mortar shells and artillery fire along the Line of Control (LoC) in Poonch District on April 1, reports Daily Excelsior. Reports said Pakistan army activated Shahpur, Kirni, Qasba and all surrounding sectors near Poonch and Mendhar, Balakote, Mankote, Dabraj, Sagra and Balnoi along the LoC around 7.45 am simultaneously, targeting forward posts of Army and BSF and pounding civilian locations with long range mortar shells and artillery fire. According to report, five-year-old girl, Sobia Koser, a resident of BandiChechian, BSF Inspector T Alex Lalminlun and 33-year old woman, Sajyat Bi were killed in Pakistan shelling and firing. The BSF Inspector was killed at Mankote sector.",
"Such was intensity of shelling that couple of mortar shells fell at Digwar, which was located hardly a kilometer from Ward No. 1 of Poonch town, sources said, adding Pakistan army had used 1200 mm mortar shells, which have range of four to five kilometers and artillery fire, spreading panic among the people. This was after a long time that mortar shells fell close to Poonch town, the people recalled. However, business as usual continued in Poonch town with precautionary measures. Army, BSF, Police and local people rushed to the villages, where security personnel and civilians had been hit by mortar shells and artillery fires.",
"Late on April 1 evening, six civilians in two houses were injured in Pakistan shelling at Balnoi. As shelling continued, it took security forces quite some time to evacuate them from their houses.",
"In retaliation by the Indian Army, two posts of Pakistan army at Dera Sher Khan opposite Mankote sector and another across Shahpur sector of Poonch District were destroyed in which 10 Pakistani troops were injured, some of them seriously, reports Daily Excelsior.",2019
"A Jaish-e-Mohammed (JeM) terrorist carrying a reward of INR two lakh, identified as Faiyaz Ahmad Lone was arrested by the Delhi Police Special Cell from Srinagar in Srinagar District, reports Daily Excelsior on April 1. Faiyaz Ahmad Lone, a resident of Kupwara, had been evading arrest since 2015. He was wanted in a case in which a non-bailable warrant was issued against him by the Delhi High Court, Police said.",2019
"A key Communist Party of India-Maoist (CPI-Maoist) cadre and close aide of Maoist commander MadviHidma, head of the Maoists 'Battalion-1', has been arrested in Bhadradri-Kothagudem District along with two couriers on April 1, reports Devdiscourse. S Soma (22), hailing from Chhattisgarh, who is working as a deputy section commander in the headquarter platoon of the Hidma Battalion', used to maintain and monitor all supplies of explosive materials, guns and items used for grenade launchers, Bhadradri-Kothagudem District Superintendent of Police (SP), Sunil Dutt said. Soma, also a gunman of Hidma since 2014, had also participated in Maoists ambushes and firing on Police personnel and Paramilitary Forces in Chhattisgarh in which several of the personnel were martyred, the official said. ""He (Soma) is a big catch. He has revealed the plans of the Battalion-1s movement, stay and the kind of weapons and ammunition they have besides their action plan. Two couriers MadiviUngaalias Santhosh of Palodi village in Sukma District of Chhattisgarh and Md. QadarYasinBaig of Laxminagaram in DummugudemMandal (administrative sub-division), who regularly supplied explosive material to the 'battalion', were arrested along with Bashar, a shop owner in Telangana, he said. Basha used to procure the explosive materials among other items, he added.",2019
"A special court on April 1 issued notices to the Consul General of India, Istanbul, and the Ministry of External Affairs (MEA), New Delhi, after Areeb Majeed, who is facing trial for allegedly travelling to Syria to join the Islamic State (IS), made a plea seeking documents from them, claiming that arrangements for his return were made through them, reports The Indian Express.According to the submissions made before the court by Majeed, he had filed an application under the Right to Information Act, in September 2018, to the MEA seeking these documents. He was told that his application was being forwarded to the Consulate. Majeed told the court that on October 24, 2018, the response he received from the Consulate said that as per available records, an Emergency Certificate was issued as per Government of India prescribed guidelines for stranded Indian nationals, that one-way ticket for Istanbul-Mumbai and hotel accommodation for one night was provided by the Consulate.While the National Investigation Agency (NIA) has claimed that Majeed, who along with three others, travelled to Baghdad for a religious pilgrimage in May 2014, but separated from the travel group to join the IS. The NIA claims that he was arrested on November 29, 2014, when he returned to the country with some ulterior motive. Majeed, however, claimed that his return was facilitated by the agency, whose officials were in touch with his father.",2019
"An Indian-origin man arrested in June 2017 on his way to join the Islamic State (IS) terrorist group in Syria was on April 1 found guilty of terrorist offences by a United Kingdom(UK), reports News18.Hanzalah Patel, from the British city of Leicester, had denied the charges but was found guilty by a jury at the end of a trial at Birmingham Crown Court. The 22-year-old said he wanted to go to Syria to ""big myself up"" and brag on returning, after taking some pictures and talking to local people.",2019
"Assam Police is in touch with its counter parts throughout Northeast to stop infiltration of any militants into the State in the run-up to the elections, reports Assam Tribune on April 2. Director General of Assam Police Kuladhar Saikia stated that all the neighbouring states have been requested to increase security in the inter-state routes. He added that Since the last few days, we have built up a strong coordination with Police departments of the north-eastern states. I requested them to carry out strict checking in both train and other vehicles, so that members of any radical force or militant outfit cannot enter Assam. We are also ready to carry out joint operation, if needed. The DGP said that 30 additional companies of Paramilitary forces have been brought to Assam to strengthen the security arrangements during election time.Telegraph further adds that vehicle checking, surveillance at railway stations, bus depots and area domination have been intensified in the areas along the inter-state border. He also added that We also have 90 companies of CPMF in the state, besides our own forces, deployed for election-related duties. Security forces engaged in National Registry of Citizens (NRC) duties, however, will not be used for polls.",
"Additional Director-General of Police (law and order) Mukesh Agrawal added that since February 1, more than 20,000 licensed firearms possessed by different individuals have been seized and 32 illegal firearms were seized to prevent violence during the polls.",2019
"Earlier on April 1, a suspected NSCN-IM extortionist identified as MughatoChishi was arrested from Burma camp in Dimapur District for extorting from drivers, reports Morung Express. INR 300 was recovered from the arrested militant.",2019
"Election Commission on April 1 notified that cadres of Kuki militant groups who signed Suspension of Operations (SoO) agreement with both the Centre and Manipur Government will cast their votes in postal ballots, reports Assam Tribune. According to Chief Election Officer (CEO), to exercise their franchise, the cadres also must reside in their designated camps and their names feature in the voters list.",2019
"Four Lashkar-e-Toiba (LeT) militants, identified as Zaffar Paul alias Abu Manzil, Tauseef Ahmad Yattooalias Azim, Aqib Ahmad Kumar and Mohammad Shafi Bhat (all local residents) were killed in an encounter at Lassipora area of Pulwama District on April 1, reports Daily Excelsior. During search operation, militants fired upon the search party and the troops retaliated leading to an encounter. Four LeT militants were killed in the gun battle and their bodies were later retrieved. Paul was affiliated with LeT and had joined the group on January 11 this year, Kumar was affiliated with LeT and was active on September last year, Bhat was affiliated with LeT and had joined the militancy on October 23 last year and Yetoo was also affiliated with LeT and was active since July 2016. Incriminating materials including arms and ammunition was also recovered from the site of encounter.",2019
"The Central Government has set up a tribunal, headed by Justice ChanderShekhar of the Delhi High Court, to adjudicate if there exists sufficient cause to ban the Jamaat-e-Islami (JeI) Jammu and Kashmir and the Jammu and Kashmir Liberation Front-Yasin Malik faction (JKLF-Y), reports Daily Excelsior on April 2. The decision has been taken by the Union Ministry of Home Affairs (UMHA) exercising the powers conferred under the Unlawful Activities (Prevention) Act, an official notification said. The JeI and the JKLF-Y were declared as unlawful associations on February 28 and March 22 respectively.",
"Now, therefore, in exercise of the powers conferred by the sub-Section (1) of Section 5 of the Unlawful Activities (Prevention) Act, 1967 (37 of 1967), the Central Government hereby constitutes an Unlawful Activities (Prevention) Tribunal consisting of Mr. Justice ChanderShekhar, High Court of Delhi, for the purpose of adjudicating whether or not there is sufficient cause of declaring the Jamaat-e-Islami-Jammu and Kashmir and Jammu and Kashmir Liberation Front-Yasin Malik faction, as unlawful association, the notification said.",2019
